Age,MonthlyIncome,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,2789,No,Travel_Frequently,444,Sales,5,3,Marketing,1,399,4,Female,84,3,1,Sales Representative,2,Divorced,3909,1,Y,No,11,3,3,80,1,2,5,2,2,2,2,2
26,5828,Yes,Travel_Rarely,950,Sales,4,4,Marketing,1,401,4,Male,48,2,2,Sales Executive,4,Single,8450,1,Y,Yes,12,3,2,80,0,8,0,3,8,7,7,4
37,2326,No,Travel_Frequently,889,Research & Development,9,3,Medical,1,403,2,Male,53,3,1,Research Scientist,4,Married,11411,1,Y,Yes,12,3,3,80,3,4,3,2,4,2,1,2
42,13525,No,Travel_Frequently,555,Sales,26,3,Marketing,1,404,3,Female,77,3,4,Sales Executive,2,Married,14864,5,Y,No,14,3,4,80,1,23,2,4,20,4,4,8
18,1420,Yes,Travel_Rarely,230,Research & Development,3,3,Life Sciences,1,405,3,Male,54,3,1,Laboratory Technician,3,Single,25233,1,Y,No,13,3,3,80,0,0,2,3,0,0,0,0
35,8020,No,Travel_Rarely,1232,Sales,16,3,Marketing,1,406,3,Male,96,3,3,Sales Executive,2,Married,5100,0,Y,No,15,3,3,80,2,12,3,2,11,9,6,9
36,3688,No,Travel_Frequently,566,Research & Development,18,4,Life Sciences,1,407,3,Male,81,4,1,Laboratory Technician,4,Married,7122,4,Y,No,18,3,4,80,2,4,2,3,1,0,0,0
51,5482,No,Travel_Rarely,1302,Research & Development,2,3,Medical,1,408,4,Male,84,1,2,Manufacturing Director,2,Divorced,16321,5,Y,No,18,3,4,80,1,13,3,3,4,1,1,2
41,16015,No,Travel_Rarely,334,Sales,2,4,Life Sciences,1,410,4,Male,88,3,4,Manager,2,Single,15896,1,Y,No,19,3,2,80,0,22,2,3,22,10,0,4
18,1200,No,Travel_Rarely,812,Sales,10,3,Medical,1,411,4,Female,69,2,1,Sales Representative,3,Single,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0
28,5661,No,Travel_Rarely,1476,Research & Development,16,2,Medical,1,412,2,Male,68,4,2,Healthcare Representative,1,Single,4824,0,Y,No,19,3,3,80,0,9,2,3,8,3,0,7
31,6929,No,Travel_Rarely,218,Sales,7,3,Technical Degree,1,416,2,Male,100,4,2,Sales Executive,4,Married,12241,4,Y,No,11,3,2,80,1,10,3,2,8,7,7,7
39,9613,No,Travel_Rarely,1132,Research & Development,1,3,Medical,1,417,3,Male,48,4,3,Healthcare Representative,4,Divorced,10942,0,Y,No,17,3,1,80,3,19,5,2,18,10,3,7
36,5674,No,Non-Travel,1105,Research & Development,24,4,Life Sciences,1,419,2,Female,47,3,2,Laboratory Technician,2,Married,6927,7,Y,No,15,3,3,80,1,11,3,3,9,8,0,8
32,5484,No,Travel_Rarely,906,Sales,7,3,Life Sciences,1,420,4,Male,91,2,2,Sales Executive,3,Married,16985,1,Y,No,14,3,3,80,1,13,3,2,13,8,4,8
38,12061,No,Travel_Rarely,849,Research & Development,25,2,Life Sciences,1,421,1,Female,81,2,3,Research Director,2,Married,26707,3,Y,No,17,3,3,80,1,19,2,3,10,8,0,1
58,5660,No,Non-Travel,390,Research & Development,1,4,Life Sciences,1,422,4,Male,32,1,2,Healthcare Representative,3,Divorced,17056,2,Y,Yes,13,3,4,80,1,12,2,3,5,3,1,2
31,4821,No,Travel_Rarely,691,Research & Development,5,4,Technical Degree,1,423,3,Male,86,3,1,Research Scientist,4,Married,10077,0,Y,Yes,12,3,3,80,1,6,4,3,5,2,0,3
31,6410,No,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,424,1,Male,62,2,2,Human Resources,1,Married,17822,3,Y,No,12,3,4,80,0,9,1,3,2,2,1,0
45,5210,No,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,425,1,Male,97,3,3,Laboratory Technician,1,Divorced,20308,1,Y,No,18,3,1,80,1,24,2,3,24,9,9,11
31,2695,No,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,426,3,Male,32,3,1,Research Scientist,4,Divorced,7747,0,Y,Yes,18,3,2,80,1,3,2,1,2,2,2,2
33,11878,No,Travel_Frequently,553,Research & Development,5,4,Life Sciences,1,428,4,Female,74,3,3,Manager,2,Married,23364,6,Y,No,11,3,2,80,2,12,2,3,10,6,8,8
39,17068,No,Travel_Rarely,117,Research & Development,10,1,Medical,1,429,3,Male,99,3,4,Manager,1,Married,5355,1,Y,Yes,14,3,4,80,0,21,3,3,21,9,11,10
43,2455,No,Travel_Frequently,185,Research & Development,10,4,Life Sciences,1,430,3,Female,33,3,1,Laboratory Technician,4,Single,10675,0,Y,No,19,3,1,80,0,9,5,3,8,7,1,7
49,13964,No,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,1,431,3,Female,90,2,4,Healthcare Representative,3,Single,17810,7,Y,Yes,12,3,4,80,0,25,2,3,7,1,0,7
52,4941,Yes,Travel_Rarely,723,Research & Development,8,4,Medical,1,433,3,Male,85,2,2,Research Scientist,2,Married,17747,2,Y,No,15,3,1,80,0,11,3,2,8,2,7,7
27,2478,No,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,1,434,3,Female,85,3,1,Research Scientist,2,Single,20938,1,Y,Yes,12,3,2,80,0,4,2,2,4,3,1,2
32,5228,No,Travel_Rarely,588,Sales,8,2,Technical Degree,1,436,3,Female,65,2,2,Sales Executive,2,Married,24624,1,Y,Yes,11,3,4,80,0,13,2,3,13,12,11,9
27,4478,No,Travel_Rarely,1377,Sales,2,3,Life Sciences,1,437,4,Male,74,3,2,Sales Executive,3,Single,5242,1,Y,Yes,11,3,1,80,0,5,3,3,5,4,0,4
31,7547,No,Travel_Rarely,691,Sales,7,3,Marketing,1,438,4,Male,73,3,2,Sales Executive,4,Divorced,7143,4,Y,No,12,3,4,80,3,13,3,3,7,7,1,7
32,5055,No,Travel_Rarely,1018,Research & Development,2,4,Medical,1,439,1,Female,74,4,2,Research Scientist,4,Single,10557,7,Y,No,16,3,3,80,0,10,0,2,7,7,0,7
28,3464,Yes,Travel_Rarely,1157,Research & Development,2,4,Medical,1,440,1,Male,84,1,1,Research Scientist,4,Married,24737,5,Y,Yes,13,3,4,80,0,5,4,2,3,2,2,2
30,5775,No,Travel_Rarely,1275,Research & Development,28,2,Medical,1,441,4,Female,64,3,2,Research Scientist,4,Married,11934,1,Y,No,13,3,4,80,2,11,2,3,10,8,1,9
31,8943,No,Travel_Frequently,798,Research & Development,7,2,Life Sciences,1,442,3,Female,48,2,3,Manufacturing Director,3,Married,14034,1,Y,No,24,4,1,80,1,10,2,3,10,9,8,9
39,19272,No,Travel_Frequently,672,Research & Development,7,2,Medical,1,444,3,Male,54,2,5,Manager,4,Married,21141,1,Y,No,15,3,1,80,1,21,2,3,21,9,13,3
39,5238,Yes,Travel_Rarely,1162,Sales,3,2,Medical,1,445,4,Female,41,3,2,Sales Executive,3,Married,17778,4,Y,Yes,18,3,1,80,0,12,3,2,1,0,0,0
33,4682,No,Travel_Frequently,508,Sales,10,3,Marketing,1,446,2,Male,46,2,2,Sales Executive,4,Single,4317,3,Y,No,14,3,3,80,0,9,6,2,7,7,0,1
47,18300,No,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,1,447,4,Male,42,3,5,Research Director,3,Married,16375,4,Y,No,11,3,2,80,1,21,2,3,3,2,1,1
43,5257,No,Travel_Frequently,559,Research & Development,10,4,Life Sciences,1,448,3,Female,82,2,2,Laboratory Technician,3,Divorced,6227,1,Y,No,11,3,2,80,1,9,3,4,9,7,0,0
27,6349,No,Non-Travel,210,Sales,1,1,Marketing,1,449,3,Male,73,3,2,Sales Executive,2,Married,22107,0,Y,Yes,13,3,4,80,1,6,0,3,5,4,1,4
54,4869,No,Travel_Frequently,928,Research & Development,20,4,Life Sciences,1,450,4,Female,31,3,2,Research Scientist,3,Single,16885,3,Y,No,12,3,4,80,0,20,4,2,4,3,0,3
43,9985,No,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,1,451,3,Female,43,3,3,Healthcare Representative,1,Married,9262,8,Y,No,16,3,1,80,1,10,1,2,1,0,0,0
45,3697,No,Travel_Rarely,549,Research & Development,8,4,Other,1,452,4,Male,75,3,2,Research Scientist,4,Married,9278,9,Y,No,14,3,1,80,2,12,3,3,10,9,9,8
40,7457,No,Travel_Rarely,1124,Sales,1,2,Medical,1,453,2,Male,57,1,2,Sales Executive,4,Married,13273,2,Y,Yes,22,4,3,80,3,6,2,2,4,3,0,2
29,2119,Yes,Travel_Rarely,318,Research & Development,8,4,Other,1,454,2,Male,77,1,1,Laboratory Technician,1,Married,4759,1,Y,Yes,11,3,4,80,0,7,4,2,7,7,0,7
29,3983,No,Travel_Rarely,738,Research & Development,9,5,Other,1,455,2,Male,30,2,1,Laboratory Technician,4,Single,7621,0,Y,No,17,3,3,80,0,4,2,3,3,2,2,2
30,6118,No,Travel_Rarely,570,Sales,5,3,Marketing,1,456,4,Female,30,2,2,Sales Executive,3,Divorced,5431,1,Y,No,13,3,3,80,3,10,2,3,10,9,1,2
27,6214,No,Travel_Rarely,1130,Sales,8,4,Marketing,1,458,2,Female,56,3,2,Sales Executive,2,Married,3415,1,Y,No,18,3,1,80,1,8,3,3,8,7,0,7
37,6347,No,Travel_Rarely,1192,Research & Development,5,2,Medical,1,460,4,Male,61,3,2,Manufacturing Director,4,Divorced,23177,7,Y,No,16,3,3,80,2,8,2,2,6,2,0,4
38,11510,No,Travel_Rarely,343,Research & Development,15,2,Life Sciences,1,461,3,Male,92,2,3,Research Director,4,Divorced,15682,0,Y,Yes,14,3,2,80,1,12,3,3,11,10,2,9
31,7143,No,Travel_Rarely,1232,Research & Development,7,4,Medical,1,462,3,Female,39,3,3,Manufacturing Director,4,Single,25713,1,Y,Yes,14,3,3,80,0,11,2,2,11,9,4,10
29,8268,No,Travel_Rarely,144,Sales,10,1,Marketing,1,463,4,Female,39,2,2,Sales Executive,2,Divorced,11866,1,Y,Yes,14,3,1,80,2,7,2,3,7,7,1,7
35,8095,No,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,1,464,3,Male,62,3,3,Manufacturing Director,2,Single,18264,0,Y,No,13,3,4,80,0,17,5,3,16,6,0,13
23,2904,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,465,3,Male,83,3,1,Research Scientist,4,Divorced,16092,1,Y,No,12,3,3,80,2,4,2,2,4,2,0,2
41,6032,No,Travel_Rarely,483,Research & Development,6,3,Medical,1,466,4,Male,95,2,2,Manufacturing Director,2,Single,10110,6,Y,Yes,15,3,4,80,0,8,3,3,5,4,1,2
47,2976,No,Travel_Frequently,1309,Sales,4,1,Medical,1,467,2,Male,99,3,2,Sales Representative,3,Single,25751,3,Y,No,19,3,1,80,0,5,3,3,0,0,0,0
42,15992,No,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,468,1,Female,44,3,4,Research Director,4,Single,15901,2,Y,No,14,3,2,80,0,16,2,3,1,0,0,0
29,4649,No,Non-Travel,746,Sales,2,3,Life Sciences,1,469,4,Male,61,3,2,Sales Executive,3,Married,16928,1,Y,No,14,3,1,80,1,4,3,2,4,3,0,2
42,2696,No,Travel_Rarely,544,Human Resources,2,1,Technical Degree,1,470,3,Male,52,3,1,Human Resources,3,Divorced,24017,0,Y,Yes,11,3,3,80,1,4,5,3,3,2,1,0
32,2370,No,Travel_Rarely,1062,Research & Development,2,3,Medical,1,471,3,Female,75,3,1,Laboratory Technician,2,Married,3956,1,Y,No,13,3,3,80,1,8,4,3,8,0,0,7
48,12504,No,Travel_Rarely,530,Sales,29,1,Medical,1,473,1,Female,91,3,3,Manager,3,Married,23978,3,Y,No,21,4,2,80,1,15,3,1,0,0,0,0
37,5974,No,Travel_Rarely,1319,Research & Development,6,3,Medical,1,474,3,Male,51,4,2,Research Scientist,1,Divorced,17001,4,Y,Yes,13,3,1,80,2,13,2,3,7,7,6,7
30,4736,No,Non-Travel,641,Sales,25,2,Technical Degree,1,475,4,Female,85,3,2,Sales Executive,3,Married,6069,7,Y,Yes,12,3,2,80,1,4,2,4,2,2,2,2
26,5296,No,Travel_Rarely,933,Sales,1,3,Life Sciences,1,476,3,Male,57,3,2,Sales Executive,3,Married,20156,1,Y,No,17,3,2,80,1,8,3,3,8,7,7,7
42,6781,No,Travel_Rarely,1332,Research & Development,2,4,Other,1,477,1,Male,98,2,2,Healthcare Representative,4,Single,17078,3,Y,No,23,4,2,80,0,14,6,3,1,0,0,0
21,2174,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,99,2,1,Sales Representative,2,Single,9150,1,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2
36,6653,No,Non-Travel,845,Sales,1,5,Medical,1,479,4,Female,45,3,2,Sales Executive,4,Single,15276,4,Y,No,15,3,2,80,0,7,6,3,1,0,0,0
36,9699,No,Travel_Frequently,541,Sales,3,4,Medical,1,481,1,Male,48,2,3,Sales Executive,4,Married,7246,4,Y,No,11,3,1,80,1,16,2,3,13,9,1,12
57,6755,No,Travel_Rarely,593,Research & Development,1,4,Medical,1,482,4,Male,88,3,2,Healthcare Representative,3,Married,2967,2,Y,No,11,3,3,80,0,15,2,3,3,2,1,2
40,2213,No,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,1,483,4,Female,46,4,1,Laboratory Technician,3,Married,22495,3,Y,Yes,13,3,3,80,1,10,3,3,7,7,1,7
21,2610,No,Non-Travel,895,Sales,9,2,Medical,1,484,1,Male,39,3,1,Sales Representative,4,Single,2851,1,Y,No,24,4,3,80,0,3,3,2,3,2,2,2
33,2851,Yes,Travel_Rarely,350,Sales,5,3,Marketing,1,485,4,Female,34,3,1,Sales Representative,3,Single,9150,1,Y,Yes,13,3,2,80,0,1,2,3,1,0,0,0
37,3452,No,Travel_Rarely,921,Research & Development,10,3,Medical,1,486,3,Female,98,3,1,Laboratory Technician,1,Married,17663,6,Y,No,20,4,2,80,1,17,3,3,5,4,0,3
46,5258,No,Non-Travel,1144,Research & Development,7,4,Medical,1,487,3,Female,30,3,2,Manufacturing Director,3,Married,16044,2,Y,No,14,3,3,80,0,7,2,4,1,0,0,0
41,9355,Yes,Travel_Frequently,143,Sales,4,3,Marketing,1,488,1,Male,56,3,2,Sales Executive,2,Single,9558,1,Y,No,18,3,3,80,0,8,5,3,8,7,7,7
50,10496,No,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,1,491,4,Male,100,2,3,Healthcare Representative,4,Single,2755,6,Y,No,15,3,4,80,0,20,2,3,4,3,1,3
40,6380,Yes,Travel_Rarely,575,Sales,22,2,Marketing,1,492,3,Male,68,2,2,Sales Executive,3,Married,6110,2,Y,Yes,12,3,1,80,2,8,6,3,6,4,1,0
31,2657,No,Travel_Rarely,408,Research & Development,9,4,Life Sciences,1,493,3,Male,42,2,1,Research Scientist,2,Single,7551,0,Y,Yes,16,3,4,80,0,3,5,3,2,2,2,2
21,2716,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,1,494,3,Female,90,4,1,Sales Representative,2,Single,25422,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0
29,2201,No,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,1,495,4,Male,54,3,1,Research Scientist,4,Single,18168,9,Y,No,16,3,4,80,0,6,4,3,3,2,1,2
35,6540,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,1,496,3,Male,97,2,2,Healthcare Representative,2,Single,19394,9,Y,No,19,3,3,80,0,10,5,3,1,1,0,0
27,3816,No,Travel_Rarely,1469,Research & Development,1,2,Medical,1,497,4,Male,82,3,1,Laboratory Technician,2,Divorced,17881,1,Y,No,11,3,2,80,1,5,2,3,5,2,0,4
28,5253,No,Travel_Rarely,304,Sales,9,4,Life Sciences,1,498,2,Male,92,3,2,Sales Executive,4,Single,20750,1,Y,No,16,3,4,80,0,7,1,3,7,5,0,7
49,10965,No,Travel_Rarely,1261,Research & Development,7,3,Other,1,499,2,Male,31,2,3,Healthcare Representative,3,Single,12066,8,Y,No,24,4,3,80,0,26,2,3,5,2,0,0
51,4936,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,1,500,3,Female,87,3,2,Sales Executive,4,Married,14862,4,Y,No,11,3,3,80,1,18,2,2,7,7,0,7
36,2543,No,Travel_Rarely,329,Research & Development,2,3,Life Sciences,1,501,4,Female,96,3,1,Research Scientist,3,Married,11868,4,Y,No,13,3,2,80,1,6,3,3,2,2,2,2
34,5304,Yes,Non-Travel,1362,Sales,19,3,Marketing,1,502,1,Male,67,4,2,Sales Executive,4,Single,4652,8,Y,Yes,13,3,2,80,0,9,3,2,5,2,0,4
55,16659,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,1,505,3,Female,97,3,4,Manager,4,Single,23258,2,Y,Yes,13,3,3,80,0,30,2,3,5,4,1,2
24,4260,No,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,Female,77,3,2,Sales Executive,3,Divorced,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3
30,2476,No,Travel_Rarely,202,Sales,2,1,Technical Degree,1,508,3,Male,72,3,1,Sales Representative,2,Married,17434,1,Y,No,18,3,1,80,1,1,3,3,1,0,0,0
26,3102,Yes,Travel_Frequently,575,Research & Development,3,1,Technical Degree,1,510,3,Male,73,3,1,Research Scientist,1,Single,6582,0,Y,No,22,4,3,80,0,7,2,3,6,4,0,4
22,2244,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,511,1,Female,43,3,1,Research Scientist,2,Married,24440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2
36,7596,No,Travel_Rarely,164,Sales,2,2,Medical,1,513,2,Male,61,2,3,Sales Executive,3,Married,3809,1,Y,No,13,3,2,80,2,10,2,3,10,9,9,0
30,2285,Yes,Travel_Frequently,464,Research & Development,4,3,Technical Degree,1,514,3,Male,40,3,1,Research Scientist,4,Single,3427,9,Y,Yes,23,4,3,80,0,3,4,3,1,0,0,0
37,3034,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,515,4,Female,95,3,1,Laboratory Technician,1,Divorced,26914,1,Y,No,12,3,3,80,1,18,2,2,18,7,12,17
40,5715,No,Travel_Rarely,759,Sales,2,2,Marketing,1,516,4,Female,46,3,2,Sales Executive,2,Divorced,22553,7,Y,No,12,3,3,80,2,8,5,3,5,4,1,3
42,2576,No,Travel_Rarely,201,Research & Development,1,4,Life Sciences,1,517,2,Female,95,3,1,Laboratory Technician,1,Divorced,20490,3,Y,No,16,3,2,80,1,8,5,3,5,2,1,2
37,4197,No,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,1,518,3,Male,49,3,2,Manufacturing Director,2,Single,21123,2,Y,Yes,12,3,4,80,0,18,2,2,1,0,0,1
43,14336,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,520,1,Male,59,2,4,Research Director,2,Divorced,4345,1,Y,No,11,3,3,80,1,25,3,3,25,10,3,9
40,3448,No,Travel_Rarely,555,Research & Development,2,3,Medical,1,521,2,Female,78,2,2,Laboratory Technician,3,Married,13436,6,Y,No,22,4,2,80,1,20,3,3,1,0,0,0
54,19406,No,Travel_Rarely,821,Research & Development,5,2,Medical,1,522,1,Male,86,3,5,Research Director,1,Married,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2
34,6538,No,Non-Travel,1381,Sales,4,4,Marketing,1,523,3,Female,72,3,2,Sales Executive,3,Married,12740,9,Y,No,15,3,1,80,1,6,3,3,3,2,1,2
31,4306,No,Travel_Rarely,480,Research & Development,7,2,Medical,1,524,2,Female,31,3,2,Manufacturing Director,1,Married,4156,1,Y,No,12,3,2,80,1,13,5,1,13,10,3,12
43,2258,No,Travel_Frequently,313,Research & Development,21,3,Medical,1,525,4,Male,61,3,1,Laboratory Technician,4,Married,15238,7,Y,No,20,4,1,80,1,8,1,3,3,2,1,2
43,4522,No,Travel_Rarely,1473,Research & Development,8,4,Other,1,526,3,Female,74,3,2,Healthcare Representative,3,Divorced,2227,4,Y,Yes,14,3,4,80,0,8,3,3,5,2,0,2
25,4487,No,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,2,Female,99,2,2,Sales Executive,4,Single,12090,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3
37,4449,No,Non-Travel,1063,Research & Development,25,5,Medical,1,529,2,Female,72,3,2,Research Scientist,3,Married,23866,3,Y,Yes,15,3,1,80,2,15,2,3,13,11,10,7
31,2218,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,1,530,4,Male,98,2,1,Laboratory Technician,1,Married,16193,1,Y,No,12,3,3,80,1,4,3,3,4,2,3,2
39,19197,No,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,1,531,2,Male,52,3,5,Manager,3,Divorced,8213,1,Y,Yes,14,3,3,80,1,21,3,3,21,8,1,6
56,13212,No,Travel_Frequently,906,Sales,6,3,Life Sciences,1,532,3,Female,86,4,4,Sales Executive,1,Married,18256,9,Y,No,11,3,4,80,3,36,0,2,7,7,7,7
30,6577,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,1,533,2,Female,83,3,2,Sales Executive,3,Single,19558,0,Y,No,11,3,2,80,0,6,6,3,5,4,4,4
41,8392,No,Travel_Rarely,645,Sales,1,3,Marketing,1,534,2,Male,49,4,3,Sales Executive,1,Married,19566,1,Y,No,16,3,3,80,1,10,2,3,10,7,0,7
28,4558,No,Travel_Rarely,1300,Research & Development,17,2,Medical,1,536,3,Male,79,3,2,Laboratory Technician,1,Divorced,13535,1,Y,No,12,3,4,80,1,10,2,3,10,0,1,8
25,4031,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,1,538,1,Male,91,3,1,Laboratory Technician,1,Married,9396,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,2
52,7969,No,Travel_Rarely,319,Research & Development,3,3,Medical,1,543,4,Male,39,2,3,Manufacturing Director,3,Married,19609,2,Y,Yes,14,3,3,80,0,28,4,3,5,4,0,4
45,2654,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,544,1,Male,69,3,1,Research Scientist,4,Married,9655,3,Y,No,21,4,4,80,2,8,3,2,2,2,0,2
52,16555,No,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,1,546,4,Female,30,3,4,Manager,4,Married,10310,2,Y,No,13,3,4,80,0,31,2,1,5,2,1,4
42,4556,No,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,547,1,Female,92,3,2,Research Scientist,3,Divorced,12932,2,Y,No,11,3,2,80,1,19,3,3,5,4,0,2
30,6091,No,Travel_Rarely,317,Research & Development,2,3,Life Sciences,1,548,3,Female,43,1,2,Manufacturing Director,4,Single,24793,2,Y,No,20,4,3,80,0,11,2,3,5,4,0,2
60,19566,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,549,1,Female,41,3,5,Manager,1,Married,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10
46,4810,No,Travel_Rarely,1485,Research & Development,18,3,Medical,1,550,3,Female,87,3,2,Manufacturing Director,3,Divorced,26314,2,Y,No,14,3,3,80,1,19,5,2,10,7,0,8
42,4523,No,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,1,551,4,Female,88,2,2,Healthcare Representative,4,Married,4386,0,Y,No,11,3,4,80,3,7,4,4,6,5,0,4
24,3202,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,554,1,Female,62,3,1,Sales Representative,2,Single,21972,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4
34,2351,Yes,Travel_Frequently,296,Sales,6,2,Marketing,1,555,4,Female,33,1,1,Sales Representative,3,Divorced,12253,0,Y,No,16,3,4,80,1,3,3,2,2,2,1,0
38,1702,No,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,1,556,4,Male,42,3,1,Laboratory Technician,4,Married,12106,1,Y,Yes,23,4,3,80,1,1,3,3,1,0,0,0
40,18041,No,Travel_Rarely,1398,Sales,2,4,Life Sciences,1,558,3,Female,79,3,5,Manager,3,Married,13022,0,Y,No,14,3,4,80,0,21,2,3,20,15,1,12
26,2886,No,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,560,1,Female,90,3,1,Research Scientist,4,Divorced,3032,1,Y,No,22,4,2,80,2,3,3,1,3,2,0,2
30,2097,No,Non-Travel,1400,Research & Development,3,3,Life Sciences,1,562,3,Male,53,3,1,Laboratory Technician,4,Married,16734,4,Y,No,15,3,3,80,1,9,3,1,5,3,1,4
29,11935,No,Travel_Rarely,986,Research & Development,3,4,Medical,1,564,2,Male,93,2,3,Research Director,3,Married,21526,1,Y,No,18,3,3,80,0,10,2,3,10,2,0,7
29,2546,Yes,Travel_Rarely,408,Research & Development,25,5,Technical Degree,1,565,3,Female,71,2,1,Research Scientist,2,Married,18300,5,Y,No,16,3,2,80,0,6,2,4,2,2,1,1
19,2564,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,Male,52,2,1,Human Resources,4,Single,18437,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0
30,8412,No,Non-Travel,1398,Sales,22,4,Other,1,567,3,Female,69,3,3,Sales Executive,1,Married,2890,0,Y,No,11,3,3,80,0,10,3,3,9,8,7,8
57,14118,No,Travel_Rarely,210,Sales,29,3,Marketing,1,568,1,Male,56,2,4,Manager,4,Divorced,22102,3,Y,No,12,3,3,80,1,32,3,2,1,0,0,0
50,17046,No,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,569,2,Male,88,2,4,Manager,3,Married,9314,0,Y,No,15,3,2,80,1,28,2,3,27,10,15,7
30,2564,No,Non-Travel,1116,Research & Development,2,3,Medical,1,571,3,Female,49,3,1,Laboratory Technician,4,Single,7181,0,Y,No,14,3,3,80,0,12,2,2,11,7,6,7
60,10266,No,Travel_Frequently,1499,Sales,28,3,Marketing,1,573,3,Female,80,2,3,Sales Executive,1,Married,2845,4,Y,No,19,3,4,80,0,22,5,4,18,13,13,11
47,5070,No,Travel_Rarely,983,Research & Development,2,2,Medical,1,574,1,Female,65,3,2,Manufacturing Director,4,Divorced,7389,5,Y,No,13,3,3,80,3,20,2,3,5,0,0,4
46,17861,No,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,575,1,Male,51,3,4,Research Director,3,Married,2288,6,Y,No,13,3,3,80,0,26,2,1,3,2,0,1
35,4230,No,Travel_Rarely,144,Research & Development,22,3,Life Sciences,1,577,4,Male,46,1,1,Laboratory Technician,3,Single,19225,0,Y,No,15,3,3,80,0,6,2,3,5,4,4,3
54,3780,No,Travel_Rarely,548,Research & Development,8,4,Life Sciences,1,578,3,Female,42,3,2,Laboratory Technician,3,Single,23428,7,Y,No,11,3,3,80,0,19,3,3,1,0,0,0
34,2768,No,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,579,4,Male,62,2,1,Research Scientist,3,Divorced,8416,3,Y,No,12,3,3,80,1,14,3,3,7,3,5,7
46,9071,No,Travel_Rarely,1125,Sales,10,3,Marketing,1,580,3,Female,94,2,3,Sales Executive,4,Married,11563,2,Y,Yes,19,3,3,80,1,15,3,3,3,2,1,2
31,10648,No,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,1,581,3,Male,33,3,3,Manufacturing Director,2,Divorced,14394,1,Y,No,25,4,4,80,1,13,6,4,13,8,0,8
